cytoband	9p21.3	10q23.31	1p36.23	6q26	10q26.3	13q14.2	19q13.41	1p32.3	15q14	14q13.1	22q13.32	4q34.3	17p13.1	17q11.2	8p23.2	3q29	13q22.1	10p13	5q34	14q24.2	1p36.32	18q22.3	1p22.1	12q12	3q13.31	10p15.3	2q22.1	16p12.2	10p11.23	12p13.1	11p15.5	2q37.1	1q42.11	16q23.1	6q22.1	11p11.2	1q44	3p21.1	9q34.2	21q21.1	4p16.3	11q14.1	12q15	10q11.23	
									NUTM1											SNORA11|ENSG00000221060.1					CCDC14						TRIM5			ZDHHC7	MOXD1			HYAL2							
									PLA2G4D											SLC10A1					ZXDC						SYT8			FTSJD1	PDE7B			BSN							
									C15orf52											CCDC177|ENSG00000267909.1					HSPBAP1						PRKCDBP			CENPN	DSE			ACKR5							
									C15orf53											CCDC177|ENSG00000255994.1					QTRTD1						OSBPL5			JPH3	HDDC2			SEC22C							
									C15orf54											ERH					EFCC1						LRRC56			VAT1L	TUBE1			RRP9							
									GOLGA8B											RN7SL224P					NEK11						MRGPRE			WFDC1	CDC40			CACNA2D2							
									EIF2AK4											RN7SL108P					NAA50						ART5			MTHFSD	RWDD1			IP6K1							
									CKMT1A											RN7SL706P					ABTB1						TRIM6			DBNDD1	AIG1			PARP3							
									SERINC4											RN7SL213P					PARP9						OR52E2			FA2H	HECA			ZNF197							
									C15orf62											U3|ENSG00000252792.1					CHCHD6						OR52J3			TMEM231	IL20RA			RBM6							
									C15orf56											RN7SL369P					SLC12A8						OR51L1			WDR59	AHI1			RBM5							
									PHGR1											ATP6V1D					DIRC2						OR51A7			KLHL36	VNN3			NME6							
									ANKRD63											MIR4706					MAATS1						OR51S1			CMIP	ECHDC1			TRAIP							
									JMJD7											FNTB					EFCAB12						OR51F2			CDT1	GOPC			ARIH2							
									PLA2G4B											ZBTB25					BOC						OR52R1			MAP1LC3B	GPR126			NPRL2							
									MIR1282											U3|ENSG00000200693.1					TXNRD3						OR52M1			PMFBP1	KIAA1244			CXCR6							
									MIR4510											WDR89					OSBPL11						OR52K2			DYNLRB2	NHSL1			CCR9							
																				SCARNA20|ENSG00000252800.1					LRRC58						OR2D3			HSDL1	SERINC1			USP19							
																				RN7SL540P					CCDC58						OR2D2			CRISPLD2	ABRACL			CYB561D2							
																				PPP2R5E					CD200R1						OR52W1			SPIRE2	PBOV1			TMEM115							
																				GPHB5					TPRA1						OR56A4			ZNRF1	TRMT11			WDR6							
																				SERPINA3					UROC1						OR56A1			CNTNAP4	PERP			RASSF1							
																				ACTN1					NUDT16						OR52B4			MARVELD3	ALDH8A1			NISCH							
																				ACYP1					COL6A6						C11orf40			CENPBD1	MICAL1			TREX1							
																				AKT1					H1FOO						OR52I2			ZNF276	OR2A4			TUSC2							
																				ARG2					DTX3L						OR51E1			SDR42E1	FAM184A			TWF2							
																				BDKRB1					CCDC80						UBQLNL			PKD1L2	ADGB			TRAK1							
																				BDKRB2					ROPN1B						OR10A5			RNF166	RNF146			DHX30							
																				ZFP36L1					C3orf22						OR2AG1			C16orf46	SF3B5			SACM1L							
																				CALM1					SPICE1						DNHD1			DNAAF1	TAAR8			SCAP							
																				SERPINA6					NUDT16P						SCGB1C1			SPATA2L	L3MBTL3			EXOSC7							
																				FOXN3					IGSF11						C11orf42			SPATA33	LTV1			RAD54L2							
																				CHGA					C3orf30						NLRP6			ZC3H18	REPS1			STAB1							
																				CKB					PARP15						OR56B4			CDYL2	SLC22A16			NBEAL2							
																				CRIP1					DNAJB8						OR52B2			TMEM170A	ARHGAP18			KLHL18							
																				CRIP2					GPR156						C11orf35			SLC38A8	GTF3C6			LARS2							
																				DIO2					CHST13						OR51F1			ADAD2	MTFR2			NAT6							
																				DIO3					KBTBD12						OR51V1			ZFP1	TMEM200A			ABHD14A							
																				DLST					ALG1L						EFCAB4A			ADAMTS18	NUS1			POC1A							
																				DYNC1H1					TIGIT						OR10A4			LDHD	IL22RA2			TMEM158							
																				EIF2S1					KIAA2018						NLRP14			MLKL	SLC18B1			PTPN23							
																				EIF5					ZDHHC23						ANO9			ZNF778	SLC16A10			DNAH1							
																				EML1					COL6A5						B4GALNT4			ACSF3	TAAR9			ERC2							
																				ESR2					RABL3						OR52L1			LINC00304	TAAR1			GNL3							
																				ESRRB					C3orf56						OR2AG2			NUDT7	NCOA7			SPCS1							
																				FOS					ILDR1						OR52B6			SNAI3	HINT3			SETD2							
																				FUT8					RAB43						OR10A2			FAM92B	ZC2HC1B			PRSS50							
																				GALC					CD200R1L						PDDC1			ATXN1L	SAMD3			RBM15B							
																				GPX2					CCDC37						MRGPRG			CTU2	RNF217			GMPPB							
																				GSTZ1					MIR568						IFITM5			C16orf47	NKAIN2			C3orf18							
																				GTF2A1					MIR548I1						FAM99A			PABPN1L	OLIG3			SS18L2							
																				BRF1					ISY1						OR56B1			C16orf74	TXLNB			SHISA5							
																				HSPA2					MIR4796						OR52K1			CTRB2	AK9			ZMYND10							
																				HSP90AA1					MIR4447						OR52I1			CLEC18B	FAM26D			TEX264							
																				IFI27											OR51D1			SYCE1L	ZUFSP			TMA7							
																				ITPK1											OR52A5			MIR1910	FAM162B			ZNF589							
																				JAG2											OR51B6			C16orf95	TBC1D32			HEMK1							
																				KLC1											OR51M1			MIR4719	HS3ST5			IP6K2							
																				LTBP2											OR51Q1			MIR5093	GPRC6A			SFMBT1							
																				MARK3											OR51I1				RFX6			NCKIPSD							
																				MAX											OR51I2				SLC35F1			PHF7							
																				ATXN3											OR52D1				VGLL2			TLR9							
																				MAP3K9											OR52H1				TMEM244			LZTFL1							
																				ALDH6A1											OR52N4				MCM9			P4HTM							
																				MTHFD1											OR52N5				SHPRH			SLC6A20							
																				SERPINA5											OR52N2				PPIL6			ELP6							
																				PGF											OR52E6				DCBLD1			SNRK							
																				SERPINA1											OR52E8				TAAR6			QRICH1							
																				SERPINA4											OR52E4				SLC35D3			ANO10							
																				PIGH											OR56A3				RSPH4A			DALRD3							
																				PPP2R5C											OR51T1				ECT2L			PBRM1							
																				LGMN											OR51A4				C6orf58			IL17RB							
																				PSEN1											OR51A2				CENPW			CACNA2D3							
																				PSMC1											IFITM10				SOGA3			DCP1A							
																				ABCD4											MIR210				CEP85L			GLT8D1							
																				RAD51B											MUC5B				THEMIS			ZKSCAN7							
																				MOK											MIR302E				FAM26F			SEMA3G							
																				SEL1L											MIR4298				RFPL4B			KIF15							
																				SRSF5											MIR4686				FAM229B			PCBP4							
																				SLC8A3											MIR4687				CTAGE9			LRTM1							
																				SPTB															MIR548A2			KIAA1143							
																				TNFAIP2															MIR588			HHATL							
																				TRAF3															METTL24			SELK							
																				TSHR															TRAPPC3L			RNF123							
																				VRK1															MIR3144			KIF9							
																				WARS															MIR3668			CDCP1							
																				XRCC3															SMLR1			CCDC71							
																				DPF3															MIR4465			NT5DC2							
																				GPR68															MIR548AJ1			SLC26A6							
																				TCL1A															MIR548H5			CAMKV							
																				NUMB																		LRRC2							
																				ADAM21																		FYCO1							
																				ADAM20																		CCDC51							
																				DLK1																		WDR82							
																				DCAF5																		ATRIP							
																				ALKBH1																		NICN1							
																				EIF2B2																		MON1A							
																				MTA1																		ABHD14B							
																				PNMA1																		GTDC2							
																				RPS6KA5																		UCN2							
																				TRIP11																		ZNF502							
																				AKAP5																		RFT1							
																				SPTLC2																		ACTR8							
																				BAG5																		ZNF501							
																				C14orf2																		GPR62							
																				CDC42BPB																		LYZL4							
																				TCL1B																		KLHL40							
																				RGS6																		TMEM42							
																				KIAA0247																		IQCF1							
																				AREL1																		GLYCTK							
																				TECPR2																		PPM1M							
																				GOLGA5																		LSMEM2							
																				MED6																		CCDC12							
																				GPHN																		CCDC13							
																				VTI1B																		KLHDC8B							
																				FBLN5																		ALS2CL							
																				BATF																		TMIE							
																				SIVA1																		FBXW12							
																				NPC2																		TCAIM							
																				AHSA1																		CCDC36							
																				CYP46A1																		PRSS42							
																				PAPOLA																		ZNF445							
																				ACOT2																		TOPAZ1							
																				TMED10																		TMEM110							
																				PTPN21																		AMIGO3							
																				VASH1																		ZNF662							
																				ZBTB1																		CDHR4							
																				SNW1																		FAM212A							
																				PCNX																		IQCF2							
																				TTLL5																		IQCF5							
																				RCOR1																		IQCF3							
																				SYNE2																		MIR135A1							
																				PACS2																		MIR191							
																				ANGEL1																		MIR425							
																				PPP1R13B																		SPINK8							
																				DICER1																		ARIH2OS							
																				ZFYVE26																		C3orf84							
																				TTC9																		FAM198A							
																				FLRT2																		CCR2							
																				PLEKHG3																		PRSS46							
																				SIPA1L1																		MIR4271							
																				DCAF4																		KRBOX1							
																				KIF26A																		MIR4787							
																				TMEM251																		MIR4443							
																				PLEK2																									
																				TCL6																									
																				MLH3																									
																				GPR132																									
																				POMT2																									
																				COQ6																									
																				FCF1																									
																				RDH11																									
																				SERPINA10																									
																				COX16																									
																				EVL																									
																				GSKIP																									
																				CINP																									
																				ASB2																									
																				ZFYVE1																									
																				CPSF2																									
																				CDCA4																									
																				NRDE2																									
																				ATG2B																									
																				UBR7																									
																				EXD2																									
																				VRTN																									
																				SLC39A9																									
																				FLVCR2																									
																				GPATCH2L																									
																				SMEK1																									
																				BTBD7																									
																				TDP1																									
																				ZNF839																									
																				SPATA7																									
																				YLPM1																									
																				KCNK13																									
																				DDX24																									
																				ADCK1																									
																				TMEM63C																									
																				RHOJ																									
																				GALNT16																									
																				PLEKHH1																									
																				UNC79																									
																				BEGAIN																									
																				PPP4R4																									
																				ZNF410																									
																				NGB																									
																				RBM25																									
																				VIPAS39																									
																				SMOC1																									
																				MOAP1																									
																				IRF2BPL																									
																				MPP5																									
																				INF2																									
																				BCL11B																									
																				OTUB2																									
																				ZFYVE21																									
																				WDR25																									
																				LINC00341																									
																				ZC2HC1C																									
																				CLMN																									
																				CATSPERB																									
																				ZC3H14																									
																				RIN3																									
																				C14orf159																									
																				CCDC176																									
																				TMEM121																									
																				SGPP1																									
																				AMN																									
																				SLIRP																									
																				DNAL1																									
																				RPS6KL1																									
																				IFI27L2																									
																				SETD3																									
																				HHIPL1																									
																				C14orf142																									
																				STON2																									
																				KIAA1737																									
																				PAPLN																									
																				FAM181A																									
																				BTBD6																									
																				EFCAB11																									
																				CHURC1																									
																				ELMSAN1																									
																				NEK9																									
																				EXOC3L4																									
																				WDR20																									
																				IFT43																									
																				AHNAK2																									
																				TRMT61A																									
																				TDRD9																									
																				ANKRD9																									
																				AK7																									
																				IFI27L1																									
																				PLD4																									
																				ADSSL1																									
																				NOXRED1																									
																				JDP2																									
																				TTC8																									
																				TC2N																									
																				SLC25A29																									
																				RDH12																									
																				GSC																									
																				SERPINA12																									
																				PRIMA1																									
																				PPP1R36																									
																				PTGR2																									
																				FAM161B																									
																				C14orf166B																									
																				ISM2																									
																				CEP128																									
																				TTC7B																									
																				FAM71D																									
																				TMEM229B																									
																				SYNE3																									
																				EML5																									
																				NUDT14																									
																				LINC00521																									
																				SERPINA11																									
																				PROX2																									
																				ZDHHC22																									
																				C14orf178																									
																				C14orf177																									
																				SLC25A47																									
																				LINC00523																									
																				CEP170B																									
																				C14orf80																									
																				CCDC85C																									
																				SERPINA9																									
																				VSX2																									
																				COX8C																									
																				ASPG																									
																				RAB15																									
																				SERPINA13P																									
																				C14orf64																									
																				RTL1																									
																				TMEM179																									
																				HEATR4																									
																				PLEKHD1																									
																				C14orf180																									
																				MIR127																									
																				MIR136																									
																				MIR154																									
																				MIR203																									
																				LINC00238																									
																				CCDC88C																									
																				MIR323A																									
																				MIR337																									
																				MIR345																									
																				MIR370																									
																				MIR381																									
																				MIR431																									
																				MIR323B																									
																				MIR409																									
																				MIR412																									
																				MIR410																									
																				MIR493																									
																				MIR432																									
																				MIR494																									
																				MIR495																									
																				MIR496																									
																				MIR487A																									
																				ACOT1																									
																				ACOT6																									
																				SYNDIG1L																									
																				RD3L																									
																				TEX22																									
																				MIR539																									
																				MIR544A																									
																				MIR487B																									
																				MIR411																									
																				MIR625																									
																				MIR654																									
																				MIR655																									
																				MIR656																									
																				MIR758																									
																				MIR770																									
																				MIR300																									
																				MIR541																									
																				MIR665																									
																				MIR543																									
																				MIR889																									
																				DIO3OS																									
																				MIR1260A																									
																				MIR1197																									
																				MIR548H1																									
																				MIR1193																									
																				MIR4309																									
																				MIR3173																									
																				MIR4505																									
																				MIR4708																									
																				MIR151B																									
																				MIR4710																									
																				MIR2392																									
																				MIR5694																									
